name,category,nationality,nature,website,twitter,date_signed
"Entel","private-sector","CHL","Entreprise","","",""
"Entrepreneurial Empowerment Initiative","civil-society","NGA","Organisation à but non lucratif","","",""
"Environmental Law Research Institute (ELRI)","civil-society","NGA","Organisation à but non lucratif","","",""
"Equateur","state","ECU","","","",""
"Equatorian Cybersecurity Association (AECI)","civil-society","ECU","Association","","",""
"Ericsson","private-sector","SWE","Entreprise","","",""
"Ernst & Young Romania","private-sector","ROM","Entreprise","","",""
"ESTsecurity","private-sector","KOR","Entreprise","","",""
"ESAN University","civil-society","PER","Université","","",""
"ESET","private-sector","SVK","Entreprise","","",""
"Espagne","state","ESP","UE","","",""
"Estonie","state","EST","UE","","",""
"ESTRATEGIA JURIDICA","private-sector","COL","","https://www.estrategiajuridica.co","@Estrategiajuridica","2019-11-13"
"ETNO","civil-society","BEL","Organisation à but non lucratif","","",""
"Eurodiagnosis","private-sector","GRC","Entreprise","","",""
"EuropaNova","civil-society","FRA","Association","","",""
"European Banking Federation (EBF)","private-sector","BEL","Association professionnelle ","","",""
"European Company Lawyers Association (ECLA)","private-sector","BEL","","https://ecla.eu","eclacontact","2019-12-05"
"European Cyber Security Organisation (ECSO)","civil-society","BEL","Organisation à but non lucratif","","",""
"European Emergency Number Association (EENA)","civil-society","BEL","Association","","",""
"European Union Institute for Security Studies (EUISS)","public-authority","FRA","Agence","","",""
"Europol","public-authority","NLD","Agence","","",""
"ewz","private-sector","CHE","Entreprise","","",""
"Exclusive Networks","private-sector","NLD","Entreprise","","",""
"Exeltek Consulting Group","private-sector","USA","Entreprise","","",""
"EY Hungary","private-sector","HUN","Entreprise","","",""
"Eyeo","private-sector","DEU","Entreprise","","",""
"F27 AD","private-sector","BGR","Entreprise","","",""
"F-Secure","private-sector","FIN","Entreprise","","",""
"Facebook","private-sector","USA","Entreprise","","",""
"Fanem","private-sector","BRA","","https://www.fanem.com.br/","https://twitter.com/fanembr","2020-02-18"
"FASIS Consulting","private-sector","FRA","Entreprise","","",""
"Fastly","private-sector","USA","Entreprise","","",""
"FATE Foundation","civil-society","NGA","Organisation à but non lucratif","","",""
"Federación Iberoamericana de Asociaciones de Derecho e Informática, A.C.","civil-society","URY","Fédération","","",""
"Fédération des Industries Electriques, Electroniques et de Communication (FIEEC)","private-sector","FRA","Association professionnelle ","","",""
"Fédération Européenne des Associations de Risk Management (FERMA)","private-sector","BEL","Association professionnelle ","","",""
"Fédération Française de l'Assurance (FFA)","private-sector","FRA","Association professionnelle ","","",""
"Federation of Indian Chambers of Commerce & Industry (FICCI)","private-sector","IND","Chambre de commerce","","",""
"Federation of Small Businesses (FSB)","private-sector","GBR","Association professionnelle ","","",""
"Fedil","private-sector","LUX","Association professionnelle ","","",""
"FEV Group","private-sector","DEU","Entreprise","","",""
"Fide Foundation","civil-society","ESP","Think tank","","",""
"Fidelis Consulting","private-sector","BEL","","","@PascaleBrien","2019-11-14"
"Finabel - European Army Interoperability Center","civil-society","BEL","Organisation internationale","","",""
"Finlande","state","FIN","UE","","",""
"Finnish Information Security Cluster","private-sector","FIN","Association professionnelle ","","",""
"FireEye","private-sector","USA","Entreprise","","",""
"FIT","private-sector","IRL","Association professionnelle ","","",""
"Focus2Comply","private-sector","PRT","Entreprise","","",""
"Foley Hoag, LLP","private-sector","USA","Entreprise","","",""
"Fondation pour la Recherche Stratégique (FRS)","civil-society","FRA","Fondation ","","",""
"Fondation SGH – Institut de recherche Cybermonde","civil-society","CHE","Fondation ","","",""
"Fondazione Bruno Kessler","civil-society","ITA","Centre de recherche","","",""
"Fondazione Mondo Digitale","civil-society","ITA","Think tank","","",""
"FoodForward SA","private-sector","ZAF","Entreprise","","",""
"Fortinet","private-sector","USA","Entreprise","","",""
"Forum for African Women Educationalists (FAWE)","civil-society","KEN","Association","","",""
"Forum International de la Cybersécurité – FIC 2019","civil-society","FRA","Forum","","",""
"Fórum Nacional Contra a Pirataria (FNCP)","civil-society","BRA","Association","","",""
"Found.ation","private-sector","GRC","Entreprise","","",""
"Foundation For Moral Value Reorientation","civil-society","NGA","Fondation ","","",""
"Foundation for the Prevention of Cybercrime (FPC)","civil-society","POL","Fondation ","","",""
"Foxid","private-sector","ESP","","http://foxid.eu","@FOXid_","2020-04-13"
"Fractal Industries","private-sector","USA","Entreprise","","",""
"France","state","FRA","UE","","",""
"French American Foundation","civil-society","FRA","Fondation ","","",""
"Fujitsu","private-sector","JPN","Entreprise","","",""
"Fundación 29 de Febrero","civil-society","ESP","Fondation ","","",""
"Fundación Datos Protegidos","civil-society","CHL","Fondation ","","",""
"Fundación Teletón México","civil-society","MEX","","","",""
"Fundatia EOS Romania","civil-society","ROM","Fondation ","","",""
"FUNDETIC BOLIVIA","civil-society","BOL","Fondation ","","",""
"G Data","private-sector","DEU","Entreprise","","",""
"Gabon","state","GAB","","","",""
"Galp Energia","private-sector","PRT","Entreprise","","",""
"Garnault & Associés","private-sector","FRA","Entreprise","","",""
"Gatewatcher","private-sector","FRA","Entreprise","","",""
"Gauba Recording Studio","private-sector","USA","Entreprise","","",""
"Gemalto","private-sector","FRA","Entreprise","","",""
"GEODE (Université Paris 8)","civil-society","FRA","Centre de recherche","","",""
"German Marshall Fund of the United States","civil-society","USA","Think tank","","",""
"Get Safe Online","private-sector","GBR","Entreprise","","",""
"Gfi Informatique","private-sector","FRA","Entreprise","","",""
"Ghana Tech Lab","civil-society","GHA","Organisation à but non lucratif","","",""
"GICAT","private-sector","FRA","Association professionnelle ","","",""
"Gigamon","private-sector","USA","Entreprise","","",""
"GIMELEC","private-sector","FRA","Association professionnelle ","","",""
"GISA - Georgian Information Security Association","civil-society","GEO","","https://www.gisa.ge","","2020-09-11"
"GitHub","private-sector","USA","Entreprise","","",""
"Gitlab","private-sector","USA","Entreprise","","",""
"GlobSec","civil-society","SVK","Think tank","","",""
"Global Commission on the Stability of Cyberspace (GCSC)","civil-society","NLD","ONG","","",""
"Global Cyber Alliance","private-sector","USA","Entreprise","","",""
"GlobalCyberSec","private-sector","MEX","Entreprise","","",""
"Globals Inc.","private-sector","IND","Entreprise","","",""
"Globant","private-sector","ARG","Entreprise","","",""
"Goethe Schule Buenos Aires - Asociación Escolar Goethe","civil-society","ARG","Ecole","","",""
"Good info","private-sector","FRA","","https://HTTPS ://www.goodinfo.eu","@patriceremeur","2019-11-20"
"Google","private-sector","USA","Entreprise","","",""
"Grab Taxi","private-sector","SGP","Entreprise","","",""
"Grayteq Security Solutions","private-sector","HUN","","https://www.grayteq.com","@GrayteqDLP","2019-11-19"
"Grèce","state","GRC","UE","","",""
"Greenbone","private-sector","DEU","Entreprise","","",""
"Greenlight Business Support","private-sector","NGA","Entreprise","","",""
"Greet for Cause Foundation","civil-society","PAK","Fondation ","","",""
"Grenoble Alpes CyberSecurity Institute","civil-society","FRA","Centre de recherche","","",""
"GREYCORTEX","private-sector","CZE","Entreprise","","",""
"Group-IB","private-sector","RUS","Entreprise","","",""
"Groupement Professionnel des Métiers de la Sécurité Electronique (GPMSE)","private-sector","FRA","Association professionnelle ","","",""
"Grupo Bancolombia","private-sector","COL","Entreprise","","",""
"Grupo Fleury","private-sector","BRA","","https://www.fleury.com.br/","","2020-12-07"
"Grupo Medical","private-sector","CHL","Entreprise","","",""
"Grupo Sancor Seguros","private-sector","ARG","","","",""
"Grupo Universal","private-sector","DOM","","","",""
"Guardtime","private-sector","EST","Entreprise","","",""
"Guatemala","state","GTM","","","","2019-11-12"
"Guatemalan Observatory of Informatic Crimes - OGDI","civil-society","GTM","","http://www.ogdi.org","https://twitter.com/jrleonett","2019-11-19"
"Guinée","state","GIN","","","","2019-11-19"
"Haan","private-sector","KOR","Entreprise","","",""
"Habitat Derneği (Habitat Association)","civil-society","TUR","Organisation à but non lucratif","","",""
"HACEY Health Initiative","civil-society","NGA","Organisation à but non lucratif","","",""
"Hacktivity Kft.","private-sector","HUN","","https://hacktivity.com","https://twitter.com/hacktivityconf","2019-11-25"
"Haiti Cyber Con Corporation","civil-society","HTI","Organisation à but non lucratif","","",""
"Handshakes","private-sector","SGP","Entreprise","","",""
"Hanover Communications","private-sector","IRL","Entreprise","","",""
"Harambee Youth Employment Accelerator","civil-society","ZAF","Organisation à but non lucratif","","",""
"Havel & Partners","private-sector","CZE","Entreprise","","",""
"Health Innovation Hub Ireland","civil-society","IRL","","https://www.hih.ie","@hihireland","2020-12-08"
"Hellenic Association for Data Protection and Privacy","civil-society","GRC","","https://www.dataprotection.gr","HADPP1","2019-11-18"
"Hidden Clouders","private-sector","MAR","","https://www.hiddenclouders.com","#hiddenclouders","2019-11-14"
"HILLBRIDGES","private-sector","SVK","Entreprise","","",""
"Hiperderecho","civil-society","PER","ONG","","",""
"Hitachi","private-sector","JPN","Entreprise","","",""
"HIVSA","civil-society","ZAF","Organisation à but non lucratif","","",""
"Hongrie","state","HUN","UE","","",""
"HOPE Foundation","civil-society","IND","Fondation ","","",""
"Hospital La Florida","private-sector","CHL","","","",""
"Hospital Santiago Oriente","private-sector","CHL","","","",""
"Hospital Sirio-Libanes","private-sector","BRA","","","",""
"HP Inc","private-sector","USA","Entreprise","","",""
"HPE","private-sector","USA","Entreprise","","",""
"HSE","public-authority","IRL","","","",""
"Https Card - Internet Identity Card","private-sector","GBR","Entreprise","","",""
"Huawei","private-sector","CHN","Entreprise","","",""
"Hubba Thailand","private-sector","THA","Entreprise","","",""
"Huilgol Law Chambers","private-sector","IND","Entreprise","","",""
"Hungarian Voluntary Cyber Defence Collaboration (KIBEV)","civil-society","HUN","Association","","",""
"HyperAspect","private-sector","BGR","Entreprise","","",""
"iDavinci Imagina","private-sector","ESP","Entreprise","","",""
"IDnomic","private-sector","FRA","Entreprise","","",""
"iLabs Technologies b.v.","private-sector","NLD","Entreprise","","",""
"iRespond Global","civil-society","USA","ONG","","",""
"Ibec","private-sector","IRL","Association professionnelle ","","",""
"IBM","private-sector","USA","Entreprise","","",""
"ICODE GH","private-sector","GHA","Entreprise","","",""
"ICON","civil-society","CHE","ONG","","",""
"ICT4Peace","civil-society","CHE","Fondation ","","",""
"ICTLuxembourg","private-sector","LUX","Association professionnelle ","","",""
"ICT Switzerland","private-sector","CHE","Association professionnelle ","","",""
"IDC-softwarehouse, s.r.o.","private-sector","CZE","Entreprise","","",""
"Igarapé Institute","civil-society","BRA","Think tank","","",""
"Ijebu Development Initiative on Poverty Reduction","civil-society","NGA","Organisation à but non lucratif","","",""
"Ikigai Law","private-sector","IND","Entreprise","","",""
"IKT-Norge","private-sector","NOR","Association professionnelle ","","",""
"IMAN Research","civil-society","MYS","Centre de recherche","","",""
"IMPENDO Inc.","private-sector","CAN","Entreprise","","",""
"Imperva","private-sector","USA","Entreprise","","",""
"Implant Compare","private-sector","USA","Entreprise","","",""
"INACO","civil-society","ROM","Organisation à but non lucratif","","",""
"Indecon","private-sector","IRL","Entreprise","","",""
"Indian Infosec Consortium","civil-society","IND","Centre de recherche","","",""
"Indian School of Development Management","civil-society","IND","Université","","",""
"Indiana University","civil-society","USA","Université","","",""
"Indonesia Cyber Security Forum (ICSF)","civil-society","IDN","Forum","","",""
"Indonesian Corporate Counsel Association (ICAA)","private-sector","IDN","Association professionnelle ","","",""
"Indra Minsait","private-sector","ESP","Entreprise","","",""
"IndusLaw","private-sector","IND","Entreprise","","",""
"Infineon Technologies AG","private-sector","DEU","Entreprise","","",""
"Infinitum Humanitarian Systems","private-sector","USA","Entreprise","","",""
"Informatica Security Corporation","private-sector","CAN","Entreprise","","",""
"Information and Communication Technologies Chamber of Costa Rica (CAMTIC)","private-sector","CRI","Association professionnelle ","","",""
"Information & Computer Technologies Industry Association (APKIT)","private-sector","RUS","Association professionnelle ","","",""
"Information Technology Industry Council (ITI)","private-sector","USA","Association professionnelle ","","",""
"ING Group","private-sector","NLD","Entreprise","","",""
"Initiative for Information Technology Capacity Building (I4ITCB)","civil-society","NGA","Association","","",""
"Initiative For National Growth Africa","civil-society","NGA","Organisation à but non lucratif","","",""
"INSOMEA COMPUTER SOLUTIONS","private-sector","TUN","Entreprise","","",""
"Institute for Accountability in the Digital Age","civil-society","NLD","Organisation à but non lucratif","","",""
"Institute for Economics and Peace","civil-society","AUS","Think tank","","",""
"Institute for Privacy Law, Data Protection and Technology of the European Public Law Organization","civil-society","GRC","Centre de recherche","","",""
"Institute for Reporters' Freedom and Safety(IRFS)","civil-society","AZE","ONG","","",""
"Institute of International and European Affairs","private-sector","IRL","Association professionnelle ","","",""
"Instituto de Ciberseguridad","private-sector","MEX","","https://www.iciberseguridad.io","https://twitter.com/InstitutoCSIO","2020-04-24"
"Instituto Mexicano para la Competitividad A.C.","civil-society","MEX","Think tank","","",""
"Instituto Mexicano para la Competitividad (IMCO)","private-sector","MEX","Association professionnelle ","","",""
"Instituto Nacional de Ciberseguridad MX","public-authority","MEX","Organisme public","","",""
"Instituto Tecnológico de Monterrey","civil-society","MEX","Université","","",""
"INTECPRO","civil-society","PER","Organisation à but non lucratif","","",""
"Integrity Partners","private-sector","POL","Entreprise","","",""
"Intel Corporation","private-sector","USA","Entreprise","","",""
"Intensity Analytics Corporation","private-sector","USA","Entreprise","","",""
"InterAgency Institute","civil-society","MLT","","","",""
"Interbank","private-sector","PER","Entreprise","","",""
"INTERNA Co, spol. s r.o.","civil-society","CZE","","https://www.nemocnice-bubenec.cz/","no","2020-12-10"
"International Centre for Defence and Security","civil-society","EST","Think tank","","",""
"International Chamber of Commerce México (ICC MÉXICO)","private-sector","MEX","Chambre de commerce","","",""
"International Civil Society Action Network","civil-society","USA","ONG","","",""
"International Consolidated Airlines Group S.A","private-sector","GBR","Entreprise","","",""
"International Foundation for Electoral Systems (IFES)","civil-society","USA","Organisation à but non lucratif","","",""
"International Republican Institute","civil-society","USA","Organisation à but non lucratif","","",""
"International Security Department, Chatham House","private-sector","GBR","Entreprise","","",""
"Internet and Mobile Association of India","private-sector","IND","Association professionnelle ","","",""
"Internet Association","private-sector","USA","Association professionnelle ","","",""
"Internet Association of Kazakhstan","civil-society","KAZ","ONG","","",""
"Internet Freedom Foundation","civil-society","IND","Fondation ","","",""
"Internet Governance Lab at American University","civil-society","USA","Université","","",""
"Internet Service Providers Austria (ISPA)","private-sector","AUT","Association professionnelle ","","",""
"Internet & the just Society","civil-society","DEU","","https://www.internetjustsociety.org","","2020-04-19"
"Internetwork Service LLC","private-sector","USA","Entreprise","","",""
"Interpharma","private-sector","CHE","Association professionnelle ","","",""
"Intuit","private-sector","USA","Entreprise","","",""
"Invitech ICT Services Ltd.","private-sector","HUN","Entreprise","","",""
"IPChain Association","private-sector","RUS","Entreprise","","",""
"IPANDETEC - Central America","civil-society","PAN","ONG","","",""
"Irlande","state","IRL","UE","","",""
"Islande","state","ISL","","","",""
"isolutions ag","private-sector","CHE","","https://www.isolutions.ch/","https://twitter.com/isolutionsag","2019-11-20"
"ISSA France Security Tuesday","private-sector","FRA","Entreprise","","",""
"Istituto Affari Internazionali (IAI)","civil-society","ITA","Think tank","","",""
"Istituto Italiano per la Privacy e la Valorizzazione dei Dati","civil-society","ITA","Think tank","","",""
"it@cork","civil-society","IRL","Organisation à but non lucratif","","",""
"IT Law Institute at Istanbul Bilgi University","civil-society","TUR","Université","","",""
"ITA","civil-society","PAK","Fondation ","","",""
"Italie","state","ITA","UE","","",""
"ITBN CONF-EXPO","private-sector","HUN","Association professionnelle ","","",""
"ITS Rio","private-sector","BRA","Entreprise","","",""
"IVADO","civil-society","CAN","Centre de recherche","","",""
"J. Sagar Associates, Advocates & Solicitors","private-sector","IND","Entreprise","","",""
"James 1:27 Trust","civil-society","ZAF","Organisation à but non lucratif","","",""
"Japan Cybersecurity Innovation Committee","civil-society","JPN","Think tank","","",""
"Japon","state","JPN","","","",""
"JK Lakshmipat University","civil-society","IND","Université","","",""
"JP SA COUTO","private-sector","PRT","","","","2020-01-03"
"Juniper Networks","private-sector","USA","Entreprise","","",""
"K&S Partners","private-sector","IND","Entreprise","","",""
"Karnataka Centre of Excellence of Cybersecurity","public-authority","IND","Centre d'excellence","","",""
"Kaspersky Lab","private-sector","RUS","Entreprise","","",""
"Keidanren","private-sector","JPN","","https://www.keidanren.or.jp/","","2019-11-20"
"Kerubiel","private-sector","HUN","Entreprise","","",""
"Kettani Digital Consulting","private-sector","MAR","Entreprise","","",""
"Khaitan & Co. LLP","private-sector","IND","Entreprise","","",""
"Kindle Gate Foundation","civil-society","NGA","Association","","",""
"KL Partners","private-sector","KOR","Entreprise","","",""
"KMVS, advokátní kancelář, s.r.o.","private-sector","CZE","Entreprise","","",""
"Knowledge Economy Forum (KEF)","civil-society","LTU","Organisation à but non lucratif","","",""
"Koan Advisory Group","private-sector","IND","Entreprise","","",""
"Kodluyoruz","civil-society","TUR","Organisation à but non lucratif","","",""
"KONE Corporation","private-sector","FIN","Entreprise","","",""
"Konecranes Plc","private-sector","FIN","Entreprise","","",""
"Konfederacja Lewiatan","civil-society","POL","Organisation à but non lucratif","","",""
"Koolspan","private-sector","USA","Entreprise","","",""
"Korea Association of Cloud Industy (KACI)","private-sector","KOR","Association professionnelle ","","",""
"Korea CPO Forum","civil-society","KOR","","","",""
"Korean Association for Artificial Intelligence and Law (KAAIL)","civil-society","KOR","","","",""
"KOTA (KOREA TV Home Shopping Association)","private-sector","KOR","Association professionnelle ","","",""
"Koweït","state","KWT","","","",""
"KPN","private-sector","NLD","Entreprise","","",""
"KT (Korea Telecom)","private-sector","KOR","Entreprise","","","2019-11-12"
"La Asociación Colombiana de Editoras de Música - ACODEM","private-sector","COL","Association professionnelle ","","",""
"Lagos State University","civil-society","NGA","Université","","",""
"Lamda Hellix","private-sector","GRC","Entreprise","","",""
"Latin America and Caribbean Network Information Center (LACNIC)","civil-society","URY","Organisation à but non lucratif","","",""
"Latvia State radio and television center (LVRTC)","public-authority","LVA","Opérateur","","",""
"Latvian Information and Communications Technology Association (LIKTA)","private-sector","LVA","Association professionnelle ","","",""
"Laurea University of Applied Sciences","civil-society","FIN","Université","","",""
"LawTech Malaysia","private-sector","MYS","Entreprise","","",""
"LEADx Change","civil-society","USA","Organisation à but non lucratif","","",""
"Learning Links Foundation (LLF)","civil-society","IND","Fondation ","","",""
"LEAUA DAMCALI DEACONU PAUBESCU - LDDP Attorneys & Counselors","private-sector","ROM","Entreprise","","",""
"Legrand Group","private-sector","FRA","Entreprise","","",""
"Lettonie","state","LVA","UE","","",""
"Liban","state","LBN","","","",""
"Liceul Atanasie Marienescu","","ROM","","http://www.lamlipova.ro/","We do not have a Twitter account yet.","2020-11-25"
"Liechtenstein","state","LIE","","","",""
"Liga Contra el Cáncer","civil-society","PER","","","",""
"Lima Chamber of Commerce in Peru","private-sector","PER","Chambre de commerce","","",""
"LINKBYNET","private-sector","FRA","Entreprise","","",""
"Linkedin","private-sector","USA","Entreprise","","",""
"Liquid Telecom","private-sector","GBR","Entreprise","","",""
"Lirex","private-sector","BGR","Entreprise","","",""
"Lituanie","state","LTU","UE","","",""
"LLOREDA CAMACHO & CO.","private-sector","COL","Entreprise","","",""
"LLYC","private-sector","ESP","","https://www.llorenteycuenca.com","@LlorenteyCuenca","2019-11-27"
"LOAD","private-sector","DEU","Entreprise","","",""
"LogSentinel","private-sector","NLD","Entreprise","","",""
"LU-CIX ASBL","civil-society","LUX","Organisation à but non lucratif","","",""
"Lufthansa Group","private-sector","DEU","Entreprise","","",""
"LUISS University","civil-society","ITA","université","","",""
"Luxembourg","state","LUX","UE","","",""
"M'Ready","private-sector","MEX","Entreprise","","",""
"Macédoine du Nord","state","MKD","","","",""
"Mademoiselle Foundation","civil-society","NGA","Organisation à but non lucratif","","",""
"Mailo / Mail Object","private-sector","FRA","Entreprise","","",""
"MAIT (Manufacturers Association for Information Technology)","private-sector","IND","Association professionnelle ","","",""
"MAJESTY BUSINESS UTVIKLING","private-sector","NOR","Entreprise","","",""
"Malte","state","MLT","UE","","",""
"Mamo TCV Advocates","private-sector","MLT","Entreprise","","",""
"Manchester International Law Center (MILC)","civil-society","GBR","Université","","",""
"Manushya Foundation","civil-society","THA","Fondation ","","",""
"Maroc","state","MAR","","","",""
"Marsh & McLennan Companies","private-sector","USA","Entreprise","","",""
"Mastercard","private-sector","USA","Entreprise","","",""
"Match Group","private-sector","USA","Association professionnelle ","","",""
"Maurice","state","MUS","","","",""
"Mauritanie","state","MRT","","","","2019-12-23"
"McCoy Information Sytems, Inc","private-sector","USA","Entreprise","","",""
"McKinsey & Company","private-sector","USA","Entreprise","","",""
"McAfee","private-sector","USA","Entreprise","","",""
"MCCANNPR","private-sector","ROM","Entreprise","","",""
"MEDEF","private-sector","FRA","Association professionnelle ","","",""
"Media Institute of Southern Africa (Zimbabwe Chapter)","civil-society","ZWE","Organisation à but non lucratif","","",""
"MediaNama","private-sector","IND","Entreprise","","",""
"Mediapro","private-sector","ESP","Entreprise","","",""
"Medibloc Co., Ltd","private-sector","KOR","","","",""
"Medical IT Advisors","private-sector","NZL","","","",""
"Medical Research Information Center (MedRIC)","civil-society","KOR","université","","",""
"MedInnoScan","private-sector","HUN","","","",""
"Mentec Foundation","civil-society","ZAF","Organisation à but non lucratif","","",""
"Mercado Libre","private-sector","ARG","Entreprise","","",""
"Mercari, Inc.","private-sector","JPN","Entreprise","","",""
"MERCY Malaysia","civil-society","MYS","ONG","","",""
"Mereka","private-sector","MYS","Entreprise","","",""
"Métropole européenne de Lille (MEL)","public-authority","FRA","","","","2020-01-31"
"Mexican Chamber for the Electronics, Telecommunications and Information Technologies Industries","private-sector","MEX","Association professionnelle ","","",""
"Mexique","state","MEX","","","",""
"Microdata","private-sector","MAR","Entreprise","","",""
"Microsec Ltd.","private-sector","HUN","Entreprise","","",""
"Microsoft","private-sector","USA","Entreprise","","",""
"Middlebury Institute of International Studies at Monterey","civil-society","USA","Université","","",""
"Migros","private-sector","CHE","Entreprise","","",""
"Mindanao Peacebuilding Institute","civil-society","PHL","","https://mpiasia.net/","@MPIAsia","2020-03-20"
"MINDSMITH","civil-society","RUS","Think tank","","",""
"Mindtree","private-sector","USA","Entreprise","","",""
"Misr El Kheir Foundation","civil-society","EGY","Organisation à but non lucratif","","",""
"Moldavie","state","MDA","","","",""
"Monaco","state","MCO","","","",""
"MoneyMatch Sdn. Bhd","private-sector","MYS","Entreprise","","",""
"Mongolie","state","MNG","","","",""
"Monténégro","state","MTG","","","",""
"Mortoff Group Kft.","private-sector","HUN","Entreprise","","",""
"Movilizatorio","civil-society","COL","Association","","",""
"MSC","private-sector","CHE","Entreprise","","",""
"MSC Cruises","private-sector","CHE","Entreprise","","",""
"MSD","private-sector","USA","","https://www.msd.com/","NA","2020-12-08"
"Mujeres Tech","civil-society","ESP","ONG","","",""
"Munich Security Conference","civil-society","DEU","Forum","","",""
"Mutual de Seguridad CChC","private-sector","CHL","","","",""
"Na Homolce Hospital","public-authority","CZE","","","",""
"Nameshield","private-sector","FRA","Entreprise","","",""
"NASSCOM Foundation","civil-society","IND","Organisation à but non lucratif","","",""
"National Association of Data Protection Officers of the Philippines (NADPOP)","civil-society","PHL","Organisation à but non lucratif","","",""
"National Association of the Deaf (NAD)","civil-society","IND","Association","","",""
"National Centre for Promotion of Employment for Disabled People","civil-society","IND","Organisation à but non lucratif","","",""
"National Council for Child and Youth Development","civil-society","THA","Organisation à but non lucratif","","",""
"National Council for the Blind, Malaysia (NCBM)","civil-society","MYS","Organisation à but non lucratif","","",""
"National Democratic Institute","civil-society","USA","Think tank","","",""
"National health information center","public-authority","SVK","","http://www.nczisk.sk","NCZI","2020-12-08"
"National Law University Delhi","civil-society","IND","Université","","",""
"National Taiwan University Hospital","public-authority","TWN","","","",""
"National Torax Institute","private-sector","CHL","","","",""
"NAVER Corporation","private-sector","KOR","Entreprise","","",""
"NDRC","private-sector","IRL","Entreprise","","",""
"NEC","private-sector","JPN","","https://www.nec.com/","@NEC_jp_pr, @NEC_corp","2019-12-17"
"Nelson Wilians","private-sector","BRA","","","","2020-01-24"
"Nemocnice Vrchlabí, s.r.o.","private-sector","CZE","","https://www.nemocnicevrchlabi.cz/","no","2020-12-10"
"NEMOS AMBULANCE s.r.o.","civil-society","CZE","","http://www.nemosambulance.cz/","no","2020-12-10"
"NEMOS PLUS s.r.o.","civil-society","CZE","","http://www.nemostrov.cz/","no","2020-12-10"
"NEMOS SOKOLOV s.r.o.","civil-society","CZE","","http://www.nemosok.cz/","no","2020-12-10"
"Nestlé","private-sector","CHE","Entreprise","","",""
"Netheos","private-sector","FRA","Entreprise","","",""
"Netox Ltd.","private-sector","FIN","Entreprise","","",""
"New Strategy Center","civil-society","ROM","","","",""
"NewsGuard","private-sector","USA","Entreprise","","",""
"Nextsense","private-sector","MKD","Entreprise","","",""
"NGL Wiater sp.k. (NGL Legal)","private-sector","POL","Entreprise","","",""
"Nielsen","private-sector","USA","Entreprise","","",""
"NIIT Foundation","civil-society","IND","Organisation à but non lucratif","","",""
"Nipman Foundation","civil-society","IND","Fondation ","","",""
"NN Group N.V.","private-sector","NLD","Entreprise","","",""
"NOESIS","private-sector","PRT","Entreprise","","",""
"Nokia","private-sector","FIN","Entreprise","","",""
"Nominet","civil-society","GBR","Organisation à but non lucratif","","",""
"Northwave","private-sector","NLD","Entreprise","","",""
"Norvège","state","NOR","","","",""
"Nouvelle-Zélande","state","NZL","","","",""
"Novoville","private-sector","GRC","Entreprise","","",""
"Novsiac Expression","civil-society","GHA","Association","","",""
"NPA Conseil","private-sector","FRA","","","","2020-03-23"
"NRD cybersecurity company","private-sector","LTU","Entreprise","","",""
"Nuclear Threat Initiative","civil-society","USA","ONG","","",""
"Number Resource Organization (NRO)","civil-society","","Association","","",""
"NumerSpiral – HBG Soluções Informáticas Unip., Lda.","private-sector","PRT","Entreprise","","",""
"NXP","private-sector","NLD","Entreprise","","",""
"Observantiae","private-sector","FRA","Entreprise","","",""
"Observer Research Foundation","civil-society","IND","Think tank","","",""
"OneSpan","private-sector","USA","Entreprise","","",""
"Oort Media Group","private-sector","COL","Entreprise","","",""
"Open Blockchain Industry Association (OBCIA)","private-sector","KOR","Association professionnelle ","","",""
"Open Consent","private-sector","CAN","Entreprise","","",""
"Open Net Korea","civil-society","KOR","ONG","","",""
"Open Systems AG","private-sector","CHE","Entreprise","","",""
"OPSEC CYBER CONSULTING SA DE CV","private-sector","MEX","Entreprise","","",""
"OPSWAT","private-sector","USA","Entreprise","","",""
"Optus Macquarie University Cyber Security Hub","civil-society","AUS","Centre de recherche","","",""
"Oracle","private-sector","USA","Entreprise","","",""
"Orange","private-sector","FRA","Entreprise","","",""
"Orange Cyberdefense","private-sector","FRA","Entreprise","","",""
"ORT SA","civil-society","ZAF","Fondation ","","",""
"Ouzbékistan","state","UZB","","","",""
"Ovidius university","civil-society","ROM","université","","",""
"P.E.A.C.E. Foundation Trust","civil-society","ZAF","Fondation ","","",""
"Packet Clearing House","private-sector","USA","Entreprise","","",""
"Pais Digital","civil-society","CHL","Fondation ","","",""
"PALACIO ABOGADOS ASOCIADOS","private-sector","COL","Entreprise","","",""
"Palo Alto Networks","private-sector","USA","Entreprise","","",""
"Panama","state","PAN","","","",""
"Panasonic","private-sector","JPN","Entreprise","","",""
"Panda Security","private-sector","ESP","Entreprise","","",""
"Papouasie-Nouvelle Guinée","state","PNG","","","",""
"Paraguay","state","PRY","","","","2020-02-11"
"Partnership For Global Security","civil-society","USA","Centre de recherche","","",""
"Partnerships for Prosperity (PPP)","civil-society","SVK","Organisation à but non lucratif","","",""
"Passerelles numériques","civil-society","KHM","Organisation à but non lucratif","","",""
"Path2Health","civil-society","THA","Fondation ","","",""
"Pax8","private-sector","USA","Entreprise","","",""
"Payatu Technologies Pvt Ltd","private-sector","IND","Entreprise","","",""
"Pays-Bas","state","NLD","UE","","",""
